Member,,"TOTAL ALLOWANCES CLAIMED, INC TRAVEL","TOTAL BASIC ALLOWANCES, EXC TRAVEL",TOTAL TRAVEL CLAIMED,Cost of staying away from main home,London supplement,Office running costs,Staffing costs,Centrally purchased stationery,Stationery associated postage costs,Central IT provision,Staff cover and other costs,Comms allowance,Mileage,MP Rail,MP Air,MP Misc (see notes),MP other Mileage,MP other Rail,MP other Air,MP other European,Spouse Total,No. of Journeys,Family Total,No. of Journeys,Employee Total,No. of Journeys
Pearson,Ian,157725,150481,7244,23005,0,25243,86225,1637,4577,1446,0,8348,5117,549,0,0,0,0,0,0,1524,28,54,2,0,0
Blizzard,Mr Bob,157719,151960,5759,23082,0,21080,90485,1112,3522,1000,1411,10268,4460,730,0,0,0,0,0,0,103,2,0,0,466,18
Mitchell,Mr Andrew,157665,150473,7192,22831,0,20768,90012,1478,3107,1255,0,11022,4499,358,0,0,65,228,0,253,1355,28,0,0,434,12
Hope,Phil,157646,151173,6473,21361,0,20793,90656,1988,4914,1345,0,10116,1970,3875,0,0,0,0,0,0,628,20,0,0,0,0
Smith,Rt Hon Jacqui,157631,145331,12300,22948,0,16688,92587,2241,1765,535,0,8567,482,7070,0,0,0,0,0,0,2531,25,485,8,1732,17
Strang,Rt Hon Gavin,157571,132319,25252,11081,0,15421,93265,400,1136,1365,0,9651,1278,6448,12504,736,0,0,0,0,4286,21,0,0,0,0
Touhig,Rt Hon Don,157499,148570,8929,23080,0,15989,94203,732,1675,1339,0,11552,1775,5117,0,0,0,153,0,0,1297,12,0,0,587,6
Mulholland,Greg,157358,147992,9366,23083,0,24371,84532,1642,3180,1174,0,10010,1851,6460,335,0,0,227,0,0,0,0,0,0,493,7
Neill,Bob,157332,152794,4538,19108,0,17130,102055,880,2075,337,0,11209,4045,367,0,57,27,42,0,0,0,0,0,0,0,0
Palmer,Dr Nick,157329,148436,8893,23057,0,19125,92719,450,1606,1295,189,9995,1961,5893,0,0,0,0,0,236,0,0,0,0,803,24
Malik,Mr Shahid,157255,146853,10402,23083,0,28358,78083,1167,4832,1259,0,10071,6847,2798,515,60,0,0,182,0,0,0,0,0,0,0
Swinson,Jo,157241,142500,14741,23083,0,18618,90410,693,2937,1202,0,5557,1318,3288,7955,1527,0,42,0,0,0,0,0,0,611,11
Snelgrove,Anne,157229,148369,8860,20913,0,21605,89656,2917,3277,1078,0,8923,2853,5096,0,264,0,25,0,0,90,2,0,0,532,18
Hepburn,Mr Stephen,157125,142291,14834,23056,0,20206,88408,321,916,1412,0,7972,2446,12041,0,0,0,0,0,0,0,0,0,0,347,2
Campbell,Rt Hon Sir Menzies,157112,141431,15681,22570,0,13039,90794,797,2883,1323,6731,3294,482,2895,11029,0,0,0,0,0,955,6,0,0,320,2
Taylor,Ms Dari,157106,135918,21188,21170,0,16995,74166,3028,3175,1142,10094,6148,5132,13117,0,0,0,0,0,0,1864,18,0,0,1075,10
Anderson,Mr David,157094,143186,13908,21652,0,15305,90494,78,0,1168,7752,6737,2357,9845,424,0,0,0,0,0,218,3,0,0,1064,11
Caborn,Rt Hon Richard,157059,140993,16066,21755,0,19794,90784,633,2184,1170,0,4673,4999,9368,0,0,0,0,0,386,453,4,0,0,860,8
Soulsby,Sir Peter,156951,147843,9108,23051,0,20948,89985,1189,3830,987,0,7853,166,5448,0,975,0,0,0,0,1937,30,0,0,582,12
Wilson,Sammy,156932,135957,20975,14557,0,19154,88089,631,2240,1355,0,9931,1680,1478,15451,0,0,0,0,1495,0,0,0,0,871,4
Foster,Mr Don,156906,151209,5697,22754,0,20266,93729,978,1792,1346,1148,9196,3528,963,0,0,0,95,0,569,542,16,0,0,0,0
McGrady,Mr Eddie,156902,140656,16246,9295,0,25537,86078,466,1140,1225,6757,10158,5369,1038,9839,0,0,0,0,0,0,0,0,0,0,0
Clark,Ms Katy,156852,140369,16483,16661,0,23778,87140,494,1335,1189,0,9772,1515,2026,8986,1883,0,0,0,0,0,0,0,0,2073,14
Rosindell,Andrew,156832,152284,4548,23083,0,20188,90885,1567,5315,1332,0,9914,2512,289,0,0,64,0,0,1650,0,0,0,0,33,10
McDonnell,Dr Alasdair,156830,146895,9935,23083,0,16967,94769,209,864,1202,0,9801,1540,1223,6373,174,0,0,0,0,0,0,320,2,305,2
Russell,Christine,156749,146205,10544,21359,0,25396,86447,1179,3038,1219,0,7567,3590,6461,0,0,0,0,0,0,0,0,0,0,493,7
Kawczynski,Daniel,156737,146176,10561,21890,0,20722,88093,255,780,992,0,13444,3447,4066,0,504,0,87,0,2007,68,2,0,0,382,7
Vis,Dr Rudi,156728,150823,5905,23083,0,21328,88910,2104,4630,1378,0,9390,5292,0,0,0,0,0,0,613,0,0,0,0,0,0
Heald,Mr Oliver,156594,147995,8599,22979,0,20979,89679,831,3187,1083,0,9257,3246,3870,0,0,0,315,0,0,572,30,74,8,522,24
Plaskitt,Mr James,156552,151736,4816,22884,0,20571,90096,1953,5042,1349,0,9841,4593,22,0,0,0,0,0,0,0,0,0,0,201,15
Laws,Mr David,156511,148375,8136,19251,0,21425,90287,987,5186,1332,0,9907,6430,1056,0,0,0,526,0,0,0,0,0,0,124,8
Etherington,Bill,156467,139259,17208,22922,0,16323,95465,329,1907,1227,1086,0,4433,6651,0,0,0,185,0,608,3080,30,0,0,2251,12
Lansley,Mr Andrew,156411,149032,7379,21399,0,18067,93046,1180,3913,1178,305,9944,3125,1822,0,46,72,1322,179,385,428,16,0,0,0,0
Kumar,Dr Ashok,156385,141057,15328,23083,0,12034,90972,769,2666,1109,0,10424,4695,10388,0,0,0,0,0,0,0,0,0,0,245,8
Clelland,Mr David,156383,131364,25019,17279,0,21358,87423,378,558,1375,0,2993,2303,6797,9301,35,0,0,0,0,5298,29,0,0,1285,8
Simpson,Alan,156286,144637,11649,23083,0,21310,90505,1509,4030,1142,0,3058,3200,5662,0,0,0,0,0,0,1020,14,0,0,1767,24
Francis,Dr Hywel,156279,144896,11383,23083,0,17312,90366,337,1195,1157,0,11446,1929,6064,0,0,0,0,0,0,2895,25,0,0,495,6
Hood,Mr Jim,156260,137276,18984,19353,0,26267,78805,1011,1635,1061,0,9144,7250,1820,7863,1031,0,57,0,0,0,0,0,0,963,5
Baron,Mr John,156257,152839,3418,23083,0,13167,98653,1297,5355,1375,0,9909,2464,928,0,0,0,26,0,0,0,0,0,0,0,0
